temp_k_4,temp_k_3,temp_k_2,temp_k_1,temp_k,cons_k_5,cons_k_4,cons_k_3,cons_k_2,cons_k_1,holiday,cons_k
12.01094419,11.73935602,11.66042709,12.15680005,11.89786697,314.9,308,297.5,270.5,252.3,0,263.8
12.10804728,12.01094419,11.73935602,11.66042709,12.15680005,323.8,314.9,308,297.5,270.5,0,252.3
10.19550182,12.10804728,12.01094419,11.73935602,11.66042709,335.6,323.8,314.9,308,297.5,0,270.5
7.744267435,10.19550182,12.10804728,12.01094419,11.73935602,358.1,335.6,323.8,314.9,308,1,297.5
7.44896316,7.744267435,10.19550182,12.10804728,12.01094419,367.4,358.1,335.6,323.8,314.9,1,308
8.547288498,7.44896316,7.744267435,10.19550182,12.10804728,372.2,367.4,358.1,335.6,323.8,0,314.9
9.853743662,8.547288498,7.44896316,7.744267435,10.19550182,373.4,372.2,367.4,358.1,335.6,0,323.8
10.17517665,9.853743662,8.547288498,7.44896316,7.744267435,360.3,373.4,372.2,367.4,358.1,0,335.6
10.78087695,10.17517665,9.853743662,8.547288498,7.44896316,350.7,360.3,373.4,372.2,367.4,0,358.1
12.73041104,10.78087695,10.17517665,9.853743662,8.547288498,345.6,350.7,360.3,373.4,372.2,0,367.4
13.43740172,12.73041104,10.78087695,10.17517665,9.853743662,327.7,345.6,350.7,360.3,373.4,1,372.2
13.49483901,13.43740172,12.73041104,10.78087695,10.17517665,307.5,327.7,345.6,350.7,360.3,1,373.4
15.23189997,13.49483901,13.43740172,12.73041104,10.78087695,309.4,307.5,327.7,345.6,350.7,0,360.3
11.09657939,15.23189997,13.49483901,13.43740172,12.73041104,316.2,309.4,307.5,327.7,345.6,0,350.7
10.25010954,11.09657939,15.23189997,13.49483901,13.43740172,338,316.2,309.4,307.5,327.7,0,345.6
12.90746743,10.25010954,11.09657939,15.23189997,13.49483901,322.8,338,316.2,309.4,307.5,0,327.7
8.490532299,12.90746743,10.25010954,11.09657939,15.23189997,356.6,322.8,338,316.2,309.4,0,307.5
5.378867145,8.490532299,12.90746743,10.25010954,11.09657939,384.5,356.6,322.8,338,316.2,1,309.4
7.124229576,5.378867145,8.490532299,12.90746743,10.25010954,381.2,384.5,356.6,322.8,338,1,316.2
7.246324843,7.124229576,5.378867145,8.490532299,12.90746743,385.2,381.2,384.5,356.6,322.8,0,338
9.367180761,7.246324843,7.124229576,5.378867145,8.490532299,390.9,385.2,381.2,384.5,356.6,0,322.8
9.17461182,9.367180761,7.246324843,7.124229576,5.378867145,383,390.9,385.2,381.2,384.5,0,356.6
4.612845197,9.17461182,9.367180761,7.246324843,7.124229576,405.7,383,390.9,385.2,381.2,0,384.5
4.432160011,4.612845197,9.17461182,9.367180761,7.246324843,427.6,405.7,383,390.9,385.2,0,381.2
